action,actor,actor_id,actor_is_bot,operation_type,repo,repo_id,org,org_id,user_agent,event_hour,event_dayofweek,event_month,event_year,is_weekend,actor_event_count,actor_bot_ratio,actor_event_velocity,is_integration_event,is_outlier
merge_queue.queue_cleared,ldondv-wjrwkf-48,QXZvlb2UMWmoUNUH,0.0,4,org-aurora-systems-829/service-lumen-650,1173901401.0,org-delta-cloud-169,125997620,2,13,0,2,2026,0,16,0.0,1.0,1,0
repo.set_default_workflow_permissions,vupcw-zohy-64,wlqn6iv3aij2dKvp,0.0,4,org-aurora-logic-556/api-atlas-778,1475234780.0,org-atlas-platform-957,1707254127,1,16,4,1,2026,0,22,0.0,1.0,1,0
project_collaborator.update,btbarc-brlcb-37,2qYJoGwMi5r1LBNJ,0.0,4,Unknown,nan,org-harbor-logic-315,1097431207,2,10,1,2,2026,0,37,0.0,1.0,1,0
user.mandatory_message_viewed,wwgeyqu-skktwr-74,UswLqNAjhQTufTUU,0.0,4,Unknown,nan,Unknown,nan,2,18,0,3,2026,0,18,0.0,1.0,1,0
integration.transfer,lofsrxft-sghep-70,RqAVuZ6G8GpqPO8I,0.0,7,Unknown,nan,Unknown,nan,2,23,2,1,2026,0,17,0.0,1.0,1,1
oauth_access.destroy,afzeuv-igvc-78,jHdU9HncyfNa2utv,0.0,5,Unknown,nan,Unknown,nan,2,13,5,1,2026,1,21,0.0,1.0,1,0
integration.create,jbvfoh-gdfga-99,m8Yp0AlPmPf98ZWv,0.0,3,Unknown,nan,org-northstar-dynamics-436,428815842,2,19,1,3,2026,0,7,0.0,1.0,1,1
organization_default_label.create,nogaj-bvwj-89,3cC4tVUsj566el1v,0.0,3,Unknown,nan,org-ember-forge-228,74864270,2,13,2,2,2026,0,17,0.0,1.0,1,0
release.update,cubgrdsw-njna-79,FmZPCrrE1I9MDEGJ,0.0,4,org-lumen-systems-895/service-harbor-217,703780268.0,Unknown,nan,2,12,6,1,2026,1,25,0.0,1.0,1,0
staff.view_site_admins,tarmvd-ejlssjn-87,hiJBoXBkix9z43YF,0.0,1,Unknown,nan,Unknown,nan,2,17,1,1,2026,0,14,0.0,1.0,1,1
org.sso_response,yjmcjbzi-ajgdij-59,zDDzL5Kj0oyDcKAT,0.0,2,Unknown,nan,org-aurora-logic-689,1235171772,2,16,2,3,2026,0,28,0.0,1.0,1,0
gpg_key.create,xguan-btyxyzp-86,m6ejKfyTaStWrSdl,0.0,3,Unknown,nan,Unknown,nan,2,6,2,1,2026,0,18,0.0,1.0,1,0
user_session.revoke,uvdqsy-gdnkjqq-67,JRmSogt1RA23yvXp,0.0,5,Unknown,nan,Unknown,nan,2,20,1,3,2026,0,28,0.0,1.0,1,0
repository_vulnerability_alerts.disable,unttxcu-rlrkgwd-12,ZKpavNqzrNPZ6Q6G,0.0,4,org-cipher-dynamics-489/gateway-atlas-141,2029598352.0,Unknown,nan,2,1,6,1,2026,1,8,0.0,1.0,1,1
ip_allow_list.disable_for_installed_apps,hhvyjj-lqkaeyx-28,GiY27F5xYqCOy3X0,0.0,4,Unknown,nan,org-harbor-systems-605,1090230636,2,10,2,1,2026,0,22,0.0,1.0,1,0
oauth_access.destroy,afzeuv-igvc-78,jHdU9HncyfNa2utv,0.0,5,Unknown,nan,Unknown,nan,2,13,5,1,2026,1,21,0.0,1.0,1,0
repository_secret_scanning_generic_secrets.enabled,rffjxboo-atgom-30,RcLtmeSZYS88QWaX,0.0,4,org-summit-dynamics-614/engine-lumen-856,153042479.0,org-northstar-core-251,693158983,3,15,6,2,2026,1,25,0.0,1.0,1,0
user.async_delete,qlsgqdt-mzcg-90,rgP5DEf4y3vzPX3f,0.0,5,Unknown,nan,Unknown,nan,2,13,2,1,2026,0,12,0.0,1.0,1,0
repo.self_hosted_runner_updated,Unknown,nan,0.0,4,org-ember-systems-980/sdk-delta-540,1752130409.0,org-ember-works-166,585406054,3,14,3,1,2026,0,334,0.0,1.0,1,1
repo.change_merge_setting,kztvq-ombfew-42,J0JHD3YhTkhroHAH,0.0,4,org-quartz-platform-513/orchestrator-granite-826,468138904.0,org-cipher-core-498,1918186675,1,16,2,3,2026,0,23,0.0,1.0,1,0
config_entry.create,icsho-usctys-61,ArKqo0V8umbEHzq2,0.0,3,org-aurora-ops-442/service-vector-909,1625583049.0,Unknown,nan,2,16,2,3,2026,0,15,0.0,1.0,1,0
org.block_user,truyu-amqg-30,DI9eavCKHRqqiqoY,0.0,3,Unknown,nan,org-quartz-systems-842,1214090489,2,21,1,2,2026,0,9,0.0,1.0,1,0
pull_request_review_comment.update,tcfzcgp-ejgds-23,w6kyKEUQiWomIXhe,0.0,4,org-atlas-works-495/engine-lumen-175,nan,org-quartz-ops-457,1715616631,2,16,2,3,2026,0,21,0.0,1.0,1,0
business_secret_scanning_push_protection.enable,zjtqn-ogmmdu-98,3WqBgXHo1wRw6NNr,0.0,4,Unknown,nan,Unknown,nan,2,11,4,1,2026,0,40,0.0,1.0,1,0
protected_branch.dismiss_stale_reviews,whxcm-uypmatz-52,vjTkrFjXAioCDZvR,0.0,5,org-aurora-signal-678/infra-atlas-564,1648601885.0,org-aurora-stack-642,276938168,2,13,0,2,2026,0,18,0.0,1.0,1,0
protected_branch.create,lzwuw-udwtazz-49,TbkQsEOEnoTiS5nU,0.0,3,org-granite-core-626/cli-aurora-548,835813502.0,org-atlas-ops-409,1166767603,2,14,6,2,2026,1,21,0.0,1.0,1,0
user.minimize_comment,tpouxo-pkvcf-63,gzR4GnVq2oM9D6Qd,0.0,4,Unknown,nan,Unknown,nan,2,16,2,3,2026,0,28,0.0,1.0,1,0
integration_installation.destroy,msyxwd-oqyg-43,5S7Ye07FqmUyb4J4,0.0,5,Unknown,nan,org-vector-logic-499,1662688008,2,15,3,2,2026,0,18,0.0,1.0,1,0
git.fetch,actor_lumen_portal34,nan,0.0,0,org-aurora-core-121/analytics-summit-377,nan,org-atlas-systems-626,357122891,4,16,2,3,2026,0,25,0.0,1.0,1,1
user_session.revoke,uvdqsy-gdnkjqq-67,JRmSogt1RA23yvXp,0.0,5,Unknown,nan,Unknown,nan,2,20,1,3,2026,0,28,0.0,1.0,1,0
required_status_check.destroy,rrulqqf-xiotal-91,hV4LcKt5WXFamkfZ,0.0,5,org-aurora-core-756/pipeline-delta-154,137423408.0,org-aurora-labs-291,1658075521,2,16,2,3,2026,0,13,0.0,1.0,1,0
release.update,cubgrdsw-njna-79,FmZPCrrE1I9MDEGJ,0.0,4,org-lumen-systems-895/service-harbor-217,703780268.0,Unknown,nan,2,12,6,1,2026,1,25,0.0,1.0,1,0
issue.unpinned,kozqqwg-vdhnixv-96,QEZ8x7bo27qzBeuh,0.0,4,org-northstar-platform-964/analytics-vector-831,2043165068.0,org-cipher-logic-347,1709875809,2,0,3,1,2026,0,23,0.0,1.0,1,1
protected_branch.update_require_last_push_approval,ktywjmnw-dtuv-85,vKjal9WXlVsD40s6,0.0,4,org-northstar-cloud-511/api-harbor-922,1078402067.0,org-delta-platform-533,1468468745,2,0,4,1,2026,0,32,0.0,1.0,1,1
github_hosted_runner.update,bosdxbx-dgurw-88,nan,0.0,4,Unknown,nan,org-atlas-labs-251,1471113368,3,18,4,2,2026,0,18,0.0,1.0,1,0
repo.update_actions_secret,sxnmiaea-ipbtdgp-79,SpvDYFAeIW0EuZbV,0.0,4,org-granite-forge-327/analytics-delta-333,1371256526.0,org-aurora-cloud-295,1556068826,1,12,6,2,2026,1,16,0.0,1.0,1,0
sub_issues.sub_issue_remove,ujxau-iuss-40,tgS0wZcTAQQiFcm4,0.0,5,org-vector-core-220/worker-granite-689,1198219392.0,org-vector-labs-187,1437113701,2,0,3,2,2026,0,21,0.0,1.0,1,1
oauth_access.create,tynlnjwa-zzjrst-14,BqhpzlvBm56E52wK,0.0,3,Unknown,nan,Unknown,nan,2,16,2,3,2026,0,19,0.0,1.0,1,0
business.add_organization,kmgdk-yxjyfx-26,UNfErWTjiGiri2r0,0.0,3,Unknown,nan,org-ember-cloud-829,1203988845,2,0,2,3,2026,0,13,0.0,1.0,1,1
repo.extract,wrpomtsa-wsjk-48,FkifuF7UDxCOTOWC,0.0,4,org-harbor-ops-502/pipeline-lumen-697,623212424.0,Unknown,nan,1,15,3,1,2026,0,25,0.0,1.0,1,0
user.create,pruql-eubb-85,4kGryVrM0KzkqVio,0.0,3,Unknown,nan,Unknown,nan,2,1,6,1,2026,1,15,0.0,1.0,1,1
workflows.disable_workflow,yhekmisv-ytmvpoi-54,9VbVsK2oR1YCA6Cg,0.0,4,org-northstar-forge-850/pipeline-quartz-865,494419554.0,org-northstar-dynamics-200,1028663932,0,13,0,3,2026,0,10,0.0,1.0,1,0
protected_branch.update_linear_history_requirement_enforcement_level,jfhww-uipphtj-89,ZRc7BnXgKKlhYdAP,0.0,4,org-harbor-cloud-804/engine-cipher-269,1762526379.0,org-ember-ops-875,2057438372,2,21,1,3,2026,0,17,0.0,1.0,1,0
repository_branch_protection_evaluation.enable,disrdula-yqpt-26,wgpwS3F0QYDi8W30,0.0,4,org-quartz-ops-529/worker-cipher-397,738360288.0,org-granite-ops-990,1315857767,2,16,3,2,2026,0,17,0.0,1.0,1,0
business_secret_scanning_push_protection.enable,zjtqn-ogmmdu-98,3WqBgXHo1wRw6NNr,0.0,4,Unknown,nan,Unknown,nan,2,11,4,1,2026,0,40,0.0,1.0,1,0
protected_branch.update_allow_deletions_enforcement_level,thxkaj-krnbapp-84,hjAHXRnz2eUlKXfT,0.0,4,org-quartz-works-723/service-cipher-753,2138602597.0,org-delta-stack-572,595956681,2,21,3,3,2026,0,18,0.0,1.0,1,0
repository_vulnerability_alert.resolve,Unknown,nan,0.0,4,org-harbor-cloud-141/cli-aurora-815,30953305.0,org-delta-signal-578,1347744505,3,16,2,2,2026,0,334,0.0,1.0,1,1
pull_request_review_comment.delete,rwmws-varxlqd-64,FdM9D4UIvHyamOiZ,0.0,5,org-vector-labs-536/api-quartz-929,1559811628.0,org-vector-logic-790,1512479719,2,16,2,2,2026,0,35,0.0,1.0,1,0
repo.code_scanning_autofix_disabled,dkkscs-dsuloy-35,jtlARPaH8zm3cyvI,0.0,4,org-granite-stack-144/sdk-summit-203,853626754.0,org-quartz-labs-929,1067068872,1,20,0,2,2026,0,17,0.0,1.0,1,0
protected_branch.policy_override,adulw-fstkql-42,aiNIAFHDsO3kPVK1,0.0,4,org-harbor-systems-327/api-summit-729,828551844.0,org-atlas-core-416,918516611,3,16,2,3,2026,0,14,0.0,1.0,1,0
oauth_authorization.update,dvlpwumw-kdfzns-29,Qa7N4xMVVg8olcbt,0.0,4,Unknown,nan,"['A360', 'fusion', 'DLS-Magestic', 'Fusion360CAM', 'delcam', 'PowerMill', 'forge-run-observ']","[7, 2781, 3425, 4848, 6128, 6242, 11856]",2,11,2,1,2026,0,11,0.0,1.0,1,0
org.oauth_app_access_approved,aaowain-rdexkn-82,UzZj1OyHlt8kQHNY,0.0,4,Unknown,nan,org-ember-platform-228,26086523,2,17,2,2,2026,0,17,0.0,1.0,1,0
custom_property_definition.create,mblkemz-uuljyt-78,iXWAnPQIQglDN1gd,0.0,3,Unknown,nan,org-atlas-dynamics-139,1707042722,2,10,3,3,2026,0,3,0.0,1.0,1,0
repo.set_default_workflow_permissions,vupcw-zohy-64,wlqn6iv3aij2dKvp,0.0,4,org-aurora-logic-556/api-atlas-778,1475234780.0,org-atlas-platform-957,1707254127,1,15,4,1,2026,0,22,0.0,1.0,1,0
pull_request_review_thread.create,qbxkplfy-umzdvw-45,SC1m9umj0BYkdmV2,0.0,3,org-ember-labs-725/api-lumen-275,nan,Unknown,nan,2,16,2,3,2026,0,10,0.0,1.0,1,0
org.create_integration_secret,aczgxbzq-nsqg-53,PW6V5IRzMgmhQrZq,0.0,3,Unknown,nan,org-aurora-stack-268,1874030909,2,16,0,3,2026,0,11,0.0,1.0,1,0
security_configuration.create,tnaflt-jaqh-83,EVkcYxV94C3I2Czx,0.0,3,Unknown,nan,org-delta-core-202,1251872533,2,8,0,1,2026,0,21,0.0,1.0,1,0
user.mandatory_message_viewed,wwgeyqu-skktwr-74,UswLqNAjhQTufTUU,0.0,4,Unknown,nan,Unknown,nan,2,18,0,3,2026,0,18,0.0,1.0,1,0
secret_scanning.enable,bhnudtlr-wxyze-96,YbmK6gTCBmczXrRB,0.0,4,Unknown,nan,org-quartz-logic-377,1591770532,2,20,3,1,2026,0,18,0.0,1.0,1,0
private_repository_forking.enable,xtszmm-zcddfmp-23,fgXBFgTuokHRjNS8,0.0,4,org-lumen-forge-204/analytics-ember-245,1334900651.0,org-atlas-cloud-588,2074898487,2,19,2,1,2026,0,32,0.0,1.0,1,0
business.secret_scanning_repo_admin_settings_policy_update,vxtunbhr-bghsgty-94,JnQVRDMZ6aNpsmdL,0.0,4,Unknown,nan,Unknown,nan,2,21,4,3,2026,0,22,0.0,1.0,1,0
issue.destroy,dqbjjwg-ofot-33,d8pOG9lbGXzDmFbi,0.0,5,org-lumen-signal-843/cli-summit-357,1467818687.0,org-cipher-labs-213,1280622349,2,22,0,2,2026,0,15,0.0,1.0,1,0
user_list.update,dcnqvu-hlrhzxb-93,ObbOe7TmrFJ0c4mM,0.0,4,Unknown,nan,Unknown,nan,2,23,2,1,2026,0,14,0.0,1.0,1,1
pull_request_review_thread.delete,vqqod-vbthx-43,NVEsvFlmp8PcBiaN,0.0,5,org-ember-labs-931/infra-lumen-301,nan,Unknown,nan,2,16,2,3,2026,0,17,0.0,1.0,1,0
repo.self_hosted_runner_updated,Unknown,nan,0.0,4,org-ember-systems-980/sdk-delta-540,1752130409.0,org-ember-works-166,585406054,3,14,3,1,2026,0,334,0.0,1.0,1,1
user.unminimize_comment,lzbutvk-whgreqa-26,0LJOOZ2NNolBqIy0,0.0,4,Unknown,nan,Unknown,nan,2,3,2,1,2026,0,22,0.0,1.0,1,1
staff.repo_lock,vmopwtp-okdbl-92,FDzXBsoUsSd35x2W,0.0,4,org-northstar-dynamics-713/pipeline-harbor-948,1262278387.0,Unknown,nan,2,21,1,3,2026,0,7,0.0,1.0,1,0
org.display_commenter_full_name_enabled,hwfntdkc-xfde-12,yjoPctTp4Xv1Kccx,0.0,4,Unknown,nan,org-northstar-forge-635,1778583585,2,0,2,3,2026,0,31,0.0,1.0,1,1
personal_access_token.destroy,ctkgljxi-mfdkm-52,64LbgVdvuwwpHXTf,0.0,5,Unknown,nan,Unknown,nan,2,16,1,3,2026,0,12,0.0,1.0,1,0
environment.update_actions_secret,mkoaru-uhdwnl-57,DTx00t9HpbToTx6i,0.0,4,org-harbor-platform-765/api-quartz-558,1523116459.0,org-delta-forge-851,102210757,2,16,2,3,2026,0,18,0.0,1.0,1,0
issue_comment.update,cxcitd-rklvg-63,GmPWBmn4JGJx0Emj,0.0,4,org-ember-cloud-520/analytics-delta-413,687692678.0,org-cipher-labs-192,1675290480,2,16,2,3,2026,0,28,0.0,1.0,1,0
team.rename,wonhodt-wwnxart-51,HnG1oSnpiQGwveRK,0.0,4,Unknown,nan,org-delta-platform-591,1950770479,2,6,3,2,2026,0,18,0.0,1.0,1,0
release.update,cubgrdsw-njna-79,FmZPCrrE1I9MDEGJ,0.0,4,org-lumen-systems-895/service-harbor-217,703780268.0,Unknown,nan,2,12,6,1,2026,1,25,0.0,1.0,1,0
dependabot_repository_access.repositories_updated,tbyvyy-lcjleiz-10,Xcp6rWsCoIk3ONA9,0.0,4,Unknown,nan,org-vector-signal-953,335117145,2,15,2,2,2026,0,16,0.0,1.0,1,0
pull_request.close,rnpnl-thtfeal-72,nErcaZTJ4QqYL19Z,0.0,4,org-harbor-logic-839/sdk-cipher-626,1859491138.0,org-aurora-logic-759,1154645757,2,16,2,3,2026,0,12,0.0,1.0,1,0
repo.advanced_security_enabled,zauvkuxy-tessta-17,JHjlAECZhhQnrPLY,0.0,4,org-northstar-dynamics-116/worker-vector-687,2131858835.0,org-northstar-cloud-788,1479528916,1,9,5,1,2026,1,23,0.0,1.0,1,0
org.security_center_export_coverage,ttmajzzz-yjqpivc-62,FeO7QgwnX56qylzR,0.0,3,Unknown,nan,org-quartz-cloud-446,1671455752,2,20,3,2,2026,0,32,0.0,1.0,1,0
integration.destroy,pixil-cwkciy-18,9h3qY26PnWEgz7ld,0.0,5,Unknown,nan,Unknown,nan,2,7,2,3,2026,0,12,0.0,1.0,1,1
repository_dependency_updates_self_hosted.disabled,ztohai-smidbg-86,ai7Oc3BrEo654pdG,0.0,4,org-lumen-cloud-727/infra-quartz-961,392128571.0,org-summit-systems-613,1159381196,2,11,2,1,2026,0,15,0.0,1.0,1,0
oauth_application.generate_client_secret,gdgsv-ugffomr-17,dVxnB7C7uaB1l9Zf,0.0,3,Unknown,nan,org-summit-cloud-963,1679452654,2,21,2,1,2026,0,10,0.0,1.0,1,0
project_collaborator.update,btbarc-brlcb-37,2qYJoGwMi5r1LBNJ,0.0,4,Unknown,nan,org-harbor-logic-315,1097431207,2,10,1,2,2026,0,37,0.0,1.0,1,0
environment.remove_actions_variable,jkzzhed-qjuvofy-89,hiX4sw4TBLop72V8,0.0,5,org-cipher-works-877/service-delta-964,1317066942.0,org-quartz-stack-970,870998601,2,16,2,2,2026,0,18,0.0,1.0,1,0
workflows.completed_workflow_run,sfrsfbkd-pxnodcx-51,T2KKH6Gc1xEKWVnL,0.0,4,org-cipher-dynamics-204/engine-northstar-352,1439682749.0,org-cipher-works-742,363974649,3,16,2,3,2026,0,20,0.0,1.0,1,0
repository_security_updates.disable,hfwrv-veaft-96,3NFX78hwaMGDvJiz,0.0,4,org-granite-labs-673/analytics-harbor-182,309954645.0,org-cipher-forge-632,309883268,2,21,2,1,2026,0,16,0.0,1.0,1,0
commit_comment.update,oxqae-iwlgxz-90,z1Sw8yrdffZvIaDd,0.0,4,org-aurora-dynamics-946/worker-harbor-995,1136494238.0,org-northstar-platform-187,653512128,2,22,2,2,2026,0,12,0.0,1.0,1,0
dependabot_repository_access.repositories_updated,tbyvyy-lcjleiz-10,Xcp6rWsCoIk3ONA9,0.0,4,Unknown,nan,org-vector-signal-953,335117145,2,15,2,2,2026,0,16,0.0,1.0,1,0
code_scanning.alert_created,Unknown,nan,0.0,0,org-harbor-platform-414/sdk-summit-916,1231853623.0,org-cipher-works-644,1665578932,3,14,6,2,2026,1,334,0.0,1.0,1,1
